Tier 1 Contextual Category;Tier 2 Contextual Category; Cost (EUR) ;Impressions;Clicks;CTR (%); eCPM (EUR) ; eCPC (EUR) ;Leads (All); eCPL (All) (EUR) ;COV (%)
Technology & Computing;Desktop Publishing; 124,16 ;220213;271;0,12%; 0,56 ; 0,46 ;5; 24,83 ;1,85%
Technology & Computing;Desktop Video; 169,84 ;221582;274;0,12%; 0,77 ; 0,62 ;5; 33,97 ;1,82%
Technology & Computing;Email; 775,28 ;291636;330;0,11%; 2,66 ; 2,35 ;5; 155,06 ;1,52%
Technology & Computing;Entertainment; 32 985,92 ;4821711;2393;0,05%; 6,84 ; 13,78 ;8; 4 123,24 ;0,33%
Technology & Computing;Graphics Software; 1 173,52 ;340561;323;0,09%; 3,45 ; 3,63 ;5; 234,70 ;1,55%
Technology & Computing;Home Video/DVD; 2 618,32 ;300517;322;0,11%; 8,71 ; 8,13 ;5; 523,66 ;1,55%
Technology & Computing;Internet Technology; 1 281,76 ;312578;338;0,11%; 4,10 ; 3,79 ;5; 256,35 ;1,48%
Technology & Computing;Java; 104,56 ;218103;269;0,12%; 0,48 ; 0,39 ;5; 20,91 ;1,86%
Technology & Computing;JavaScript; 99,44 ;221058;268;0,12%; 0,45 ; 0,37 ;5; 19,89 ;1,87%
Technology & Computing;Mac Support; 410,64 ;237444;281;0,12%; 1,73 ; 1,46 ;5; 82,13 ;1,78%
Technology & Computing;MP3/MIDI; 20,24 ;210805;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Technology & Computing;n/a; 32 675,12 ;3246566;1771;0,05%; 10,06 ; 18,45 ;8; 4 084,39 ;0,45%
Technology & Computing;Net Conferencing; 26,80 ;211 255;266;0,13%; 0,13 ; 0,10 ;5; 5,36 ;1,88%
Technology & Computing;Net for Beginners; 175,76 ;220 731;274;0,12%; 0,80 ; 0,64 ;5; 35,15 ;1,82%
Technology & Computing;Network Security; 67,28 ;233 335;273;0,12%; 0,29 ; 0,25 ;5; 13,46 ;1,83%
Technology & Computing;Palmtops/PDAs; 720,56 ;293 136;287;0,10%; 2,46 ; 2,51 ;5; 144,11 ;1,74%
Technology & Computing;PC Support; 29,52 ;211 424;266;0,13%; 0,14 ; 0,11 ;5; 5,90 ;1,88%
Technology & Computing;Portable; 2 451,76 ;282 713;311;0,11%; 8,67 ; 7,88 ;5; 490,35 ;1,61%
Technology & Computing;Shareware/Freeware; 1 990,08 ;391 386;362;0,09%; 5,08 ; 5,50 ;5; 398,02 ;1,38%
Technology & Computing;Unix; 95,04 ;217 279;270;0,12%; 0,44 ; 0,35 ;5; 19,01 ;1,85%
Technology & Computing;Visual Basic; 47,36 ;214 234;267;0,12%; 0,22 ; 0,18 ;5; 9,47 ;1,87%
Technology & Computing;Web Clip Art; 162,56 ;223 660;277;0,12%; 0,73 ; 0,59 ;5; 32,51 ;1,81%
Technology & Computing;Web Design/HTML; 2 703,92 ;467 852;337;0,07%; 5,78 ; 8,02 ;6; 450,65 ;1,78%
Technology & Computing;Web Search; 3 477,52 ;470 415;353;0,08%; 7,39 ; 9,85 ;3; 1 159,17 ;0,85%
Technology & Computing;Windows; 273,12 ;226 385;166;0,07%; 1,21 ; 1,65 ;3; 91,04 ;1,81%
Travel;Adventure Travel; 135,76 ;221 023;154;0,07%; 0,61 ; 0,88 ;3; 45,25 ;1,95%
